        院校,院校简介,计算机评级,招生院系,专业代码,初试科目,参考书,复试科目,24招生人数,24复试线,23复试线,23拟录取情况,24拟录取名单,学费学制
"沈阳航空航天大学
24改考",沈阳航空航天大学位于辽宁省沈阳市，简称“沈航”，是一所以航空宇航为特色，以工为主，包含工、理、文、经、管等多科性高等院校，是教育部、中国航空工业集团有限公司与辽宁省人民政府三方共建高校，国防科工局与辽宁省人民政府共建高校，空军依托培养后备军官的全国18所地方院校之一，入选教育部“卓越工程师教育培养计划”试点,计算机B-，软件工程无评级,计算机学院,085400电子信息,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 844程序设计与数据结构",,"专业笔试，复试科目为《微机原理》、《操作系统》、《程序设计》三门科
目任选一门,需避开初试科目",94,273/37/56,273/38/57,未公布成绩,拟录取名单：https://yjs.sau.edu.cn/info/1002/4035.htm,"学制：3年
学费：全日制硕士研究生8000元/生/年"
,,,人工智能学院,085400电子信息-人工智能,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 834程序设计基础",,,28,273/37/56,273/38/57,,拟录取名单：https://yjs.sau.edu.cn/info/1002/4029.htm,
长春理工大学,长春理工大学，位于吉林长春，是吉林省、国家国防科技工业局、长春市共建高校，教育部批准的卓越工程师教育培养计划实施学校，国家级大学生创新创业训练计划实施学校，吉林省重点大学，吉林省首批“三全育人”综合改革试点高校，上海合作组织大学院校，中俄综合性大学联盟、中俄工科大学联盟院校；入选“中西部高校基础能力建设工程”院校，首批教育部、国家外专局“高等学校学科创新引智计划”，“吉林省特色高水平应用研究型大学”建设项目A类；具有硕士研究生单独招生考试权、优秀应届本科毕业生免试攻读硕士学位推荐权、接收中国政府奖学金留学生资格。,计算机B，软件C。,"计算机科学与技术学院
24改考",085400电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302 数学（二）
④ 809数据结构+操作系统",,"复试:程序设计
同等力学加试:组成原理+软件工程
初复试占比：7：3",120,282/37/56,354,"最高分：418
最低分：354
平均分：374",复试名单官网没有，只有查询入口，因为24考研的时候是第一年改考，可能咱25考的时候建议考到320以上会好一点,"学制：3年
学费:全日制/非全日制硕士研究生收取学费8000元/人/年"
,,,,085400电子信息-软件工程,,,,30,273/37/56,284,"最高分：372
最低分：284
平均分：335",,
东北大学,东北大学（Northeastern University），坐落于辽宁省沈阳市，是中华人民共和国教育部直属的全国重点大学，由教育部、辽宁省、沈阳市三方重点共建，是世界一流大学建设高校，国家首批“211工程”和“985工程”重点建设高校。,第四轮评级：计算机A-，软件A-。,"计算机科学与工程学院含秦皇岛分校/佛山
25改考",081200计算机科学与技术,"① 101 思想政治理论
② 201 英语（一）
③ 301 数学（一）
④ 408 计算机学科专业基础","[1]《数据库系统概论》(第五版)王珊、萨师煊编著,高等教育出版社
[2]《软件工程及应用》张斌、郭军,东北大学出版社,2007年
[3]《计算机网络》(第七版)谢希仁编著,电子工业出版社
[4]《Java编程思想》(第四版)(美)埃克尔著,陈昊鹏译,机械工业出版社,2007年;《C++语言程序设计》(第四版)
郑莉,董渊,何江舟著,清华大
学出版社,2018年","【1】数据库原理
【2】软件工程
【3】计算机网络
【4】面向对象程序设计(JAVA/C++二选一)",55,349,不整理了，没意义，之前考的是C语言，数据结构+操作系统,,拟录取名单：http://www.cse.neu.edu.cn/2024/0407/c6274a245270/page.htm,"学制：3年
学费：学硕8000/年
专硕：10000/年


中美联培：学费6万/年
学制3年
东北大学和美国双证
"
,,,,电子信息(085404)-计算机技术,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 408 计算机学科专业基础",,,专业共93,354,,,,
,,,,电子信息(085410)-人工智能,,,,专业共20,352,,,,
,,,软件学院,083500软件工程,"① 101 思想政治理论
② 201 英语（一）
③ 302 数学（二）
④858C语言程序设计与数据结构","《面向对象软件工程》（中文
版）沙赫查（美）著，黄林鹏，徐小辉，伍建焜译，机械工业出版社，2009年",面向对象软件工程,7,356,,,拟录取名单：http://sc.neu.edu.cn/2024/0407/c144a245254/page.htm,
,,,,085405电子信息-软件工程（含中美双学位）,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④858C语言程序设计与数据结构",,,共73，中美双学位招生多，本校专硕招生7,340,,,,
"哈尔滨工程大学
211",哈尔滨工程大学（Harbin Engineering University）简称“哈工程”，是中华人民共和国工业和信息化部直属并由工业和信息化部、教育部、黑龙江省、哈尔滨市、海军共建的全国重点大学，位列“世界一流学科建设高校”。,第四轮评级：计算机B+，软件工程B。,计算机科学与技术学院,081200计算机科学与技术,"① 101 思想政治理论
② 201 英语（一）
③ 301 数学（一）
④ 811 数据结构+组成原理",,"采用上机编程方式,编程语言C语言。",19,350,350,"进复试24人,拟录取14人
一志愿复试均分368
拟录取均分375
最高392,最低353",拟录取名单：https://yzb.hrbeu.edu.cn/2024/0425/c3262a324583/page.htm,"学制：3年
学费：全日制学术学位硕士研究生：8000元/学年；
全日制专业学位硕士研究生：9000元/学年"
,,,,0812Z1网络安全技术与工程,,,,15,305,325,"进复试21人,拟录取14人
一志愿复试均分356
拟录取均分367
最高413,最低332",,
,,,,083500软件工程,"① 101 思想政治理论
② 201 英语（一）
③ 301 数学（一）
④ 812 数据结构+操作系统",,,15,318,279,"进复试23人,拟录取17人
一志愿复试均分324
拟录取均分337
最高363,最低305",,
,,,,"085400电子信息
23改考",,,,89,330,292,"最高分：396
最低分：295
平均分：337",,
"大连海事大学
211",大连海事大学是交通运输部所属的全国重点大学，是国家“双一流”世界一流学科建设高校、国家“211工程”建设高校，是交通运输部、教育部、原国家海洋局、辽宁省人民政府、大连市人民政府共建高校,第四轮评级：计算机B，软件C。,信息科学技术学院,081200计算机科学与技术,"① 101 思想政治理论
② 201 英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,笔试数据库,41,333,309/38/57,"一志愿复试50人,拟录取41人
一志愿复试均分332
拟录取均分335
最高379,最低313","拟录取名单：https://www.dlmu.edu.cn/info/1060/68488.htm
我这下载的是文档损坏了，看不了，你可以试试
一志愿复试名单：https://www.dlmu.edu.cn/info/1060/67878.htm","学制：3年
学费：全日制学术学位硕士研究生：8000元/学年；
全日制专业学位硕士研究生：12000元/学年"
,,,,083500软件工程,,,,12,316,273/38/57,"一志愿复试11人,拟录取11人
拟录取均分310
最高386,最低279",,
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 202英语（二）
③ 302数学（二）
④ 408计算机学科专业基础",,,33,348,331,"最高分：395
最低分：331
平均分：351",,
,,,,085400电子信息-软件工程,,,,9,273,330,"最高分：396
最低分：323
平均分：359",,
,,,,085400电子信息-人工智能,,,,31,312,323,"最高分：398
最低分：323
平均分：356",,
,,,,085400电子信息-大数据技术与工程,,,,14,286,337,"最高分：393
最低分：337
平均分：364",,
,,,,085400电子信息-网络与信息安全,,,,18,293,333,"最高分：389
最低分：333
平均分：352",,
,,,"人工智能学院
24改考",电子信息(085400)-人工智能,"① 101 思想政治理论
② 201 英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,笔试人工智能基础,13,273,273,"最高分：380
最低分：285
平均分：326",,
,,,,电子信息(085400)-大数据技术与工程,,,,6,273,273,"最高分：379
最低分：291
平均分：329",,
辽宁工业大学,沈阳工业大学主校区位于辽宁省沈阳市，是一所以工为主，涵盖工、理、经、管、文、法、哲、艺术等八大学科门类的多科性研究应用型大学，入选国家“卓越工程师教育培养计划”、国家建设高水平大学公派研究生项目、国家”特色重点学科项目“建设高校、中国政府奖学金来华留学生接收院校、“全国首批深化创新创业教育改革示范高校”、教育部首批“新工科研究与实践项目”。,计算机B-，软件工程无评级,信息科学与工程学院,081200计算机科学与技术,"① 101 思想政治理论
② 201 英语（一）
③ 301 数学（一）
④ 808 数据结构",,F584数据库系统原理,32,273/37/56,273/38/57,"一志愿复试32人,拟录取32人
拟录取均分305
最高分367,最低分274","一志愿复试名单（第一批）：https://yjsxy.sut.edu.cn/info/1066/5432.htm
一志愿复试名单（第二批）：https://yjsxy.sut.edu.cn/info/1066/5472.htm
建议备考到340左右叭","学制：3年
学费：8000/年"
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 808 数据结构",,,40,317/37/56,273/38/57,"一志愿复试48+1专项,拟录取39+1专项
拟录取均分332
最高分389,最低分282",,
,,,人工智能学院,085400电子信息-人工智能,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 855 数据结构基础",,"F516单片机原理
F519概率论与数理统计
F584数据库系统原理(任选一)",36,335/37/56,273/38/57,"一志愿进复试35+1专项,拟录取35+1专项
拟录取均分319
最高分371,最低分273",,
,,,软件学院,085400电子信息-软件工程,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 848 数据结构与算法",,F594软件工程,54,321/38/57,320/38/57,"一志愿进复试67人,拟录取54人
拟录取均分351
最高分398,最低分321",,
长春工业大学,长春工业大学（Changchun University of Technology），坐落于吉林省长春市，是一所以工为主，工、管、文、理、经、法、艺术等多学科相互支撑、协调发展的省属重点大学，入选国家“中西部高校基础能力建设工程（二期）”支持高校、国家级大学生创新创业训练计划项目实施高校、国家大学生文化素质教育基地、国家技术转移示范机构、教育部“卓越工程师教育培养计划”高校、教育部产学合作协同育人项目、教育部首批新工科研究与实践项目实施高校、CDIO工程教育联盟成员单位，吉林省“两所五校”成果转化基金试点单位，吉林省“特色高水平应用研究型大学”建设项目高校。,计算机C，软件无评级,计算机科学与工程学院,085404电子信息-计算机技术,"①101思想政治理论
②202英语（二）
③302数学（二）
④808数据结构","808数据结构
《数据结构——从概念到C实现》，王红梅编著，清华大学出版社，2023年3月出版，每章的扩展与提高不考。
《程序设计基础—从问题到程序》（第3版），王红梅编著，清华大学出版社，2021年2月出版。","1.复试笔试科目：
高级语言程序设计
2.不接收同等学力考生。",30,310/37/56,290/38/57,"一志愿复试名单：https://yjsy.ccut.edu.cn/info/1016/2199.htm
一志愿拟录取名单：https://yjsy.ccut.edu.cn/info/1016/2200.htm","一志愿复试名单(也可以看到往年的招生情况）:https://yjsy.ccut.edu.cn/info/1081/2474.htm
一志愿拟录取名单：https://yjsy.ccut.edu.cn/info/1081/2476.htm","学制：3年
学费：硕士研究生学费标准8000元/人·年。"
,,,,085410电子信息-人工智能,,,,20,310/37/56,273/38/57,,,
哈尔滨理工大学,哈尔滨理工大学（Harbin University of Science and Technology），位于哈尔滨市，是黑龙江省人民政府与国家国防科技工业局共建高校，入选“中西部基础能力建设工程”高校、国家“特色重点学科项目”建设高校。,第四轮评级：计算机B，软件工程C+。,计算机科学与技术学院,081200计算机科学与技术,"①101 思想政治理论
②201 英语（一）
③301 数学（一）
④809 数据结构与计算机组成原理",,"总成绩=初试总分/5*60%+复试总分/2*40%
复试:C语言程序设计",40,273/37/56,273/38/57,"一志愿进复试16人,拟录取16人
一志愿均分310
拟录取均分310
最高分371,最低分275",一志愿拟录取名单：http://graduate.hrbust.edu.cn/2024/0401/c3907a92377/page.htm,"学制：硕士研究生基本学制为2.5年。
学费：全日制学术硕士研究生8000元/生/年；全日制专业硕士研究生9000元/生/年"
,,,,083500软件工程,"①101 思想政治理论
②201 英语（一）
③302 数学（二）
④809 数据结构与计算机组成原理",,,18,,273/38/57,"一志愿进复试9人,拟录取9人
一志愿均分307
拟录取均分307
最高分349,最低分273",,
,,,,085404电子信息-计算机技术,"①101 思想政治理论
②202 英语（二）
③302 数学（二）
④809 数据结构与计算机组成原理",,,64,,287/38/57,"一志愿进复试92人,拟录取68人
一志愿均分321
拟录取均分329
最高分400,最低分288",,
,,,,085400电子信息-软件工程,,,,18,,273/38/57,"一志愿进复试12人,拟录取12人
一志愿均分307
拟录取均分307
最高分334,最低分278",,