        院校,院校简介,计算机评级,招生院系,专业代码,初试科目,参考书,复试科目,24招生人数,24复试线,23复试线,23拟录取情况,24拟录取情况,24拟录取名单,学费学制,
"武汉理工大学
211",武汉理工大学是中华人民共和国教育部直属全国重点大学，首批国家世界一流学科建设高校，首批国家“211工程”建设高校，由教育部和交通运输部、国家国防科技工业局共建，入选985工程优势学科创新平台、“111计划”、卓越工程师教育培养计划、国家建设高水平大学公派研究生项目、新工科研究与实践项目、中国政府奖学金来华留学生接收院校、国家大学生文化素质教育基地,第四轮评级：计算机B，软件B-。,计算机与人工智能学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,程序设计+算法设计与分析+离散数学,17,354/55/85,308/45/80,"最高分：375
最低分：302
平均分：328",,"拟录取名单1：http://gd.whut.edu.cn/zs/tzgg/202404/t20240409_582986.shtml
拟录取名单2：http://gd.whut.edu.cn/zs/tzgg/202404/t20240422_584617.shtml
一志愿复试名单：http://hnsy.whut.edu.cn/yjsjy/tzgg/202403/t20240326_987940.shtml","学制：学制3年
学费：全日制非定向硕士研究生：8000元/学年。",
,,,,083500软件工程,"① 101 思想政治理论
② 201英语（一）
③ 302 数学（二）
④ 408计算机学科专业基础",,,20,334/55/85,308/45/80,"最高分：375
最低分：302
平均分：328",,,,
,,,,085400电子信息-计算机技术,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,,64,348/55/85,341/55/85,"最高分：375
最低分：302
平均分：328",,,,
,,,,085400电子信息-软件工程,,,,63,336/55/85,338/55/85,"最高分：375
最低分：302
平均分：328",,,,
"华中师范大学
211",华中师范大学简称“华大”或”华中师大”，位于湖北省会武汉，是中华人民共和国教育部直属重点综合性师范大学，国家“211工程”、“985工程优势学科创新平台”重点建设院校，国家“双一流”世界一流学科建设高校。,第四轮评级：计算机B-，软件C。,计算机学院,"081200计算机科学与技术
23改考","① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,"最终成绩=(初试总分/5)*70%+复试成绩*30%
笔试:C语言程序设计",21,325/37/56,302/38/57,"最高分：375
最低分：302
平均分：328",拟录取名单：https://cs.ccnu.edu.cn/info/1115/4056.htm,"学制：学术学位3年，专业学位3年
学费：全日制学术学位硕士研究生：8000元/学年；全日制专业学位硕士研究生：10000元/学年。",,
,,,,085404电子信息-计算机技术,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,,13,330/37/56,308/38/57,"一志愿复试39人,拟录取33人
一志愿复试均分335
一志愿拟录取均分340
最高384,最低316",,,,
,,,,085404电子信息-软件工程,,,,13,330/37/56,307/38/57,"一志愿复试25人,拟录取20人
一志愿复试均分330
一志愿拟录取均分335
最高371,最低307",,,,
,,,教育大数据应用技术国家工程研究中心,"081200计算机科学与技术
23改考","① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408计算机学科专业基础",,"总成绩=初试总分÷5×60%+复试成绩(百分制)×40%
算法与数据结构",27,298/37/56,293/38/57,"一志愿复试57人
拟录取47人
一志愿拟录取均分320
最高390,最低293",拟录取名单：https://nerc-ebd.ccnu.edu.cn/info/1041/2626.htm,,,
,,,,085404电子信息-计算机技术,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 408计算机学科专业基础",,,21,313/37/56,303/38/57,"一志愿复试51人,拟录取42人
一志愿拟录取均分334
最高374,最低303",,,,
,,,,085404电子信息-人工智能,,,,10,296/37/56,303/38/57,"一志愿复试25人,拟录取20人
一志愿拟录取均分331
最高377,最低287",,,,
湖北工业大学,湖北工业大学（Hubei University of Technology），简称“湖工大”，坐落于湖北省武汉市，是一所以工学为特色，覆盖工、文、理、艺、经、管、法和教育等八大学科门类的多科性大学，是湖北省重点建设高校、“湖北省2011计划”牵头高校、湖北省国内一流学科建设高校。,第四轮评级：计算机C-，软件工程无评级。,计算机学院,081200计算机科学与技术,"① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 836 数据结构与算法",,"复试:笔试(程序综合设计及上机)+面试
初复试占比7：3",52,273/37/56,273/38/57,"一志愿复试37人,拟录取27人
一志愿均分315
最高分391,最低分282
拟录取均分323
最高分391，最低分297",拟录取名单：https://yjs.hbut.edu.cn/info/1010/13436.htm,"学制、学费、奖学金
学制：3年
学费：硕士研究生生8000元/生/年",,
,,,,085404电子信息-计算机技术,"① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 836 数据结构与算法",,,96,273/37/56,325/38/57,"一志愿复试294+3专项,拟录取115+2专项
一志愿均分351
最高分413,最低分325
拟录取均分369
最高分413,最低分343",,,,
武汉科技大学,武汉科技大学，简称“武科大”，坐落于湖北省武汉市，是湖北省人民政府、教育部和六家国家特大型企业共建高校，是湖北省“双一流”建设高校，入选国家“中西部高校基础能力建设工程”、高等学校学科创新引智计划、国家级大学生创新创业训练计划。,第四轮评级：计算机C+，软件C。,计算机科学与技术学院,"081200计算机科学与技术
(01)计算机系统结构
(02)计算机软件与理论
(03)计算机应用技术","① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408 计算机学科专业基础",,"程序设计上机考试:根据考题,使用C、C++、Java语言,现场设计、上机编程、调试运行程序；
编程环境:Windows下的CodeBlocks, Dev,Eclipse
初复试占比6：4",18,273/37/56,304/38/57,"一志愿复试34人,拟录取28人
一志愿均分324
拟录取均分327
最高分372,最低分304","复试结果公示：https://jsjkx.wust.edu.cn/info/1671/34342.htm
复试名单：https://jsjkx.wust.edu.cn/info/1671/33822.htm","学制：3年
学费：
全日制学术型：8000 元/生·年。全日制专业型：10000 元/生·年",,
,,,,"081200计算机科学与技术
(04)人工智能
荷兰阿姆斯特丹自由大学合作举办","① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 829 数据结构+计算机网络",,,30,273/37/56,273/38/57,"一志愿进复试5人,拟录取5人
一志愿均分297
拟录取均分297
最高分324,最低分276",,,,
,,,,"083500软件工程
24改考","① 101 思想政治理论
② 201英语（一）
③ 301 数学（一）
④ 408 计算机学科专业基础",,,12,273/37/56,292/38/57,"一志愿复试30人,拟录取24人
一志愿均分315
拟录取均分319
最高分374,最低分292",,,,
,,,,"085400电子信息
24改考","① 101 思想政治理论
② 202 英语（二）
③ 302 数学（二）
④ 408 计算机学科专业基础",,,92,293/37/56,313/38/57,"一志愿进复试113+1专项,拟录取93+1专项
一志愿均分339
拟录取均分343
最高分393,最低分313",,,,